100,1.1368683772161603E-013,2.3160000000000004E-003
150,2.2737367544323206E-013,4.6469999999999992E-003
200,2.8421709430404007E-013,6.4129999999999986E-003
250,3.6948222259525210E-013,1.1738999999999999E-002
300,8.5265128291212022E-013,2.2018999999999997E-002
350,7.9580786405131221E-013,3.6836999999999995E-002
400,9.0949470177292824E-013,4.6884000000000009E-002
450,1.0231815394945443E-012,6.8032000000000009E-002
500,9.0949470177292824E-013,9.2501000000000000E-002
550,1.9326762412674725E-012,0.12024999999999997     
600,2.6147972675971687E-012,0.20243600000000006     
650,2.1600499167107046E-012,0.19714499999999990     
700,2.0463630789890885E-012,0.25227099999999991     
750,2.5011104298755527E-012,0.37110800000000022     
800,2.5011104298755527E-012,0.37694600000000023     
850,3.1832314562052488E-012,0.51786900000000013     
900,3.6379788070917130E-012,0.55504999999999960     
950,2.5011104298755527E-012,0.64354200000000006     
1000,3.0695446184836328E-012,0.75741600000000009     
